City,Country,State Province,Latitude (generated),Longitude (generated)
Whitehorse,CA,YT,60.716,-135.053
Watson Lake,CA,YT,,
Ross River,CA,YT,,
Mayo,CA,YT,,
Haines Junction,CA,YT,,
Faro,CA,YT,,
Destruction Bay,CA,YT,,
Dawson City,CA,YT,,
Dawson,CA,YT,,
Carmacks,CA,YT,,
Work from Home,CA,UNKNOWN,,
Remote,CA,UNKNOWN,,
NA,CA,UNKNOWN,,
Home Based,CA,UNKNOWN,,
Field,CA,UNKNOWN,,
Yorkton,CA,SK,51.216,-102.467
Wynyard,CA,SK,,
Willowbrook,CA,SK,,
Willow Bunch,CA,SK,,
Wilkie,CA,SK,,
Wilcox,CA,SK,,
Whitewood,CA,SK,,
Whitecap,CA,SK,,
White City,CA,SK,,
Weyburn,CA,SK,,
Welwyn,CA,SK,,
Watson,CA,SK,,
Watrous,CA,SK,,
Waskesiu Lake,CA,SK,,
Warman,CA,SK,,
Wakaw,CA,SK,,
Wadena,CA,SK,,
Vanscoy,CA,SK,,
Usherville,CA,SK,,
Unity,CA,SK,,
Turtleford,CA,SK,,
Turnor Lake,CA,SK,,
Tisdale,CA,SK,,
Tiny,CA,SK,,
Theodore,CA,SK,,
Tessier,CA,SK,,
Swift Current,CA,SK,,
Success,CA,SK,,
Strongfield,CA,SK,,
Strasbourg,CA,SK,,
Stoughton,CA,SK,,
Stornoway,CA,SK,,
Star City,CA,SK,,
Stanley Mission,CA,SK,,
St. Brieux,CA,SK,,
Spy Hill,CA,SK,,
Spiritwood,CA,SK,,
Southend,CA,SK,,
Shellbrook,CA,SK,,
Shaunavon,CA,SK,,
Sceptre,CA,SK,,
Saskatoon,CA,SK,52.116,-106.634
Saskatchewan Beach,CA,SK,,
Sandy Bay,CA,SK,,
Saltcoats,CA,SK,,
Salt Lake,CA,SK,,
Runnymede,CA,SK,,
Rouleau,CA,SK,,
Rosthern,CA,SK,,
Rosetown,CA,SK,,
Rose Valley,CA,SK,,
Rockglen,CA,SK,,
Rocanville,CA,SK,,
Resource,CA,SK,,
Regina,CA,SK,50.45,-104.617
Reford,CA,SK,,
Raymore,CA,SK,,
Rama,CA,SK,,
Radville,CA,SK,,
Qu'Appelle,CA,SK,,
Punnichy,CA,SK,,
Prince Albert,CA,SK,53.2,-105.767
Preeceville,CA,SK,,
Porcupine Plain,CA,SK,,
Ponteix,CA,SK,,
Plenty,CA,SK,,
Pleasantdale,CA,SK,,
Pinehouse Lake,CA,SK,,
Pilot Butte,CA,SK,,
Pangman,CA,SK,,
Oxbow,CA,SK,,
Outlook,CA,SK,,
Onion Lake,CA,SK,,
Ogema,CA,SK,,
North Battleford,CA,SK,52.783,-108.284
Nokomis,CA,SK,,
Nipawin,CA,SK,,
Neudorf,CA,SK,,
Neilburg,CA,SK,,
Naicam,CA,SK,,
NA,CA,SK,,
Muskeg Lake,CA,SK,,
Muenster,CA,SK,,
Moosomin,CA,SK,,
Moose Jaw,CA,SK,50.4,-105.534
Montreal Lake,CA,SK,,
Montmartre,CA,SK,,
Missinipe,CA,SK,,
Milestone,CA,SK,,
Middle Lake,CA,SK,,
Melville,CA,SK,,
Melfort,CA,SK,,
Meadow Lake,CA,SK,,
McLean,CA,SK,,
Martensville,CA,SK,,
Marshall,CA,SK,,
Marsden,CA,SK,,
