City,Country,State Province,Latitude (generated),Longitude (generated)
Seattle,DE,WA,,
Wendland,DE,UNKNOWN,,
Rheinland,DE,UNKNOWN,,
Ostsee,DE,UNKNOWN,,
NA,DE,UNKNOWN,,
Home Based,DE,UNKNOWN,,
Grabfeld,DE,UNKNOWN,,
Erzgebirge,DE,UNKNOWN,,
Eichsfeld,DE,UNKNOWN,,
Zeulenroda,DE,TH,,
Zella-Mehlis,DE,TH,,
Wutha-Farnroda,DE,TH,,
Wurzbach,DE,TH,,
Wünschendorf,DE,TH,,
Worbis,DE,TH,,
Wolfsberg,DE,TH,,
Wölfis,DE,TH,,
Wipfratal,DE,TH,,
Windischleuba,DE,TH,,
Wiesenfeld,DE,TH,,
Wiehe,DE,TH,,
Wernburg,DE,TH,,
Weißensee,DE,TH,,
Weira,DE,TH,,
Weinbergen,DE,TH,,
Weimar,DE,TH,50.977,11.3279
Weidhausen,DE,TH,,
Weida,DE,TH,,
Wechmar,DE,TH,,
Wasungen,DE,TH,,
Wartburgkreis,DE,TH,,
Waltershausen,DE,TH,,
Walschleben,DE,TH,,
Walldorf,DE,TH,,
Wachsenburg,DE,TH,,
Vachdorf,DE,TH,,
Vacha,DE,TH,,
Urbach,DE,TH,,
Unterwellenborn,DE,TH,,
Unterkatz,DE,TH,,
Unterbreizbach,DE,TH,,
Unstruttal,DE,TH,,
Unstrut Hainich Kreis,DE,TH,,
Ummerstadt,DE,TH,,
Uhlstädt-Kirchhasel,DE,TH,,
Tüttleben,DE,TH,,
Trusetal,DE,TH,,
Triptis,DE,TH,,
Triebes,DE,TH,,
Treffurt,DE,TH,,
Tonna,DE,TH,,
Toba,DE,TH,,
Thüringenhausen,DE,TH,,
Themar,DE,TH,,
Tanna,DE,TH,,
Tambach-Dietharz,DE,TH,,
Tabarz,DE,TH,,
Sulza,DE,TH,,
Suhl,DE,TH,50.61,10.6895
Straußfurt,DE,TH,,
Straufhain,DE,TH,,
Stotternheim,DE,TH,,
Steinheuterode,DE,TH,,
Steinach,DE,TH,,
Stadtroda,DE,TH,,
Stadtlengsfeld,DE,TH,,
Stadtilm,DE,TH,,
Sonneborn,DE,TH,,
Sonneberg,DE,TH,50.3559,11.1838
Sondershausen,DE,TH,51.3696,10.8578
Sömmerda,DE,TH,51.1599,11.1192
Sitzendorf,DE,TH,,
Silbitz,DE,TH,,
Seubtendorf,DE,TH,,
Serba,DE,TH,,
Seebach,DE,TH,,
Schwarzwald,DE,TH,,
Schwarzhausen,DE,TH,,
Schwallungen,DE,TH,,
Schwabhausen,DE,TH,,
Schönhagen,DE,TH,,
Schönbrunn,DE,TH,,
Schmölln,DE,TH,,
Schmiedefeld am Rennsteig,DE,TH,,
Schmalkalden,DE,TH,50.7206,10.4538
Schlotheim,DE,TH,,
Schleusingen,DE,TH,,
Schleusegrund,DE,TH,,
Schleiz,DE,TH,,
Schalkau,DE,TH,,
Sankt Gangloff,DE,TH,,
Saara,DE,TH,,
Saalfeld-Rudolstadt,DE,TH,,
Saalfeld,DE,TH,50.6497,11.3585
Saalburg-Ebersdorf,DE,TH,,
Saalburg,DE,TH,,
Ruhla,DE,TH,,
Rudolstadt,DE,TH,50.7197,11.3458
Rothenstein,DE,TH,,
Roßleben,DE,TH,,
Rositz,DE,TH,,
Ronneburg,DE,TH,,
Römhild,DE,TH,,
Rodeberg,DE,TH,,
Ritschenhausen,DE,TH,,
Rippershausen,DE,TH,,
Reurieth,DE,TH,,
Remptendorf,DE,TH,,
Remda-Teichel,DE,TH,,
Rauenstein,DE,TH,,
Ranis,DE,TH,,
Probstzella,DE,TH,,
Posterstein,DE,TH,,
Pößneck,DE,TH,,
Plaue,DE,TH,,
Ohrdruf,DE,TH,,
Oettersdorf,DE,TH,,
Oberweißbach,DE,TH,,
Obermaßfeld-Grimmenthal,DE,TH,,
Oberhof,DE,TH,,
Obergebra,DE,TH,,
Nordhausen,DE,TH,51.5022,10.7948
Nohra,DE,TH,,
Nobitz,DE,TH,,
Nischwitz,DE,TH,,
Niedersachswerfen,DE,TH,,
Niederndorf,DE,TH,,
Neustadt an der Orla,DE,TH,,
Neustadt,DE,TH,,
Neuhaus-Schierschnitz,DE,TH,,
Neuhaus am Rennweg,DE,TH,,
Neuhaus,DE,TH,,
Neudietendorf,DE,TH,,
Neubrunn,DE,TH,,
Nermsdorf,DE,TH,,
Nahetal-Waldau,DE,TH,,
NA,DE,TH,,
Münchenbernsdorf,DE,TH,,
Mühlhausen,DE,TH,51.2055,10.4647
Mörsdorf,DE,TH,,
Moorgrund,DE,TH,,
Moorbad Lobenstein,DE,TH,,
Mönchenholzhausen,DE,TH,,
Mohlsdorf,DE,TH,,
Mihla,DE,TH,,
Meuselwitz,DE,TH,,
Meura,DE,TH,,
Merkers-Kieselbach,DE,TH,,
Merkers,DE,TH,,
Merbelsrod,DE,TH,,
Menteroda,DE,TH,,
Mellingen,DE,TH,,
Meiningen,DE,TH,50.571,10.4163
Masserberg,DE,TH,,
Marksuhl,DE,TH,,
Marbach,DE,TH,,
Magdala,DE,TH,,
Lucka,DE,TH,,
Lödla,DE,TH,,
Löbichau,DE,TH,,
Linderbach,DE,TH,,
Liebschütz,DE,TH,,
Lichte,DE,TH,,
Leubingen,DE,TH,,
Leinefelde,DE,TH,,
Legefeld,DE,TH,,
Lederhose,DE,TH,,
Lauscha,DE,TH,,
Langewiesen,DE,TH,,
Langenwetzendorf,DE,TH,,
Langenleuba-Niederhain,DE,TH,,
Laasdorf,DE,TH,,
Küllstedt,DE,TH,,
Kronach,DE,TH,50.2412,11.3274
Kromsdorf,DE,TH,,
Krauthausen,DE,TH,,
Kranichfeld,DE,TH,,
Kraftsdorf,DE,TH,,
Königsee,DE,TH,,
Kölleda,DE,TH,,
Klettbach,DE,TH,,
Kindelbrück,DE,TH,,
Karlsdorf,DE,TH,,
Kamsdorf,DE,TH,,
Kaltennordheim,DE,TH,,
Kahla,DE,TH,,
Jena,DE,TH,50.927,11.5863
Issersheilingen,DE,TH,,
Ilmtal,DE,TH,,
Ilmenau,DE,TH,50.6839,10.9197
Ichtershausen,DE,TH,,
Hörselgau,DE,TH,,
Hörselberg,DE,TH,,
Hohenkirchen,DE,TH,,
Hohenfelden,DE,TH,,
Hirschberg,DE,TH,,
Hildburghausen,DE,TH,,
Heyda,DE,TH,,
Heubisch,DE,TH,,
Herrenhof,DE,TH,,
Hermsdorf,DE,TH,,
Heringen/Helme,DE,TH,,
Hellingen,DE,TH,,
Helbedündorf,DE,TH,,
Heilbad Heiligenstadt,DE,TH,51.3769,10.1365
Heichelheim,DE,TH,,
Günthersleben-Wechmar,DE,TH,,
Günthersleben,DE,TH,,
Großvargula,DE,TH,,
Großheringen,DE,TH,,
Großbreitenbach,DE,TH,,
Greiz,DE,TH,50.6554,12.2029
Gräfenhain,DE,TH,,
Gotha,DE,TH,50.9496,10.7087
Gößnitz,DE,TH,,
Göhren,DE,TH,,
Gneus,DE,TH,,
Gierstädt/Kleinfahner,DE,TH,,
Geschwenda,DE,TH,,
Gerstungen,DE,TH,,
Gernrode,DE,TH,,
Geraberg,DE,TH,,
Gera,DE,TH,50.8786,12.0779
Georgenthal,DE,TH,,
Geismar,DE,TH,,
Geisa,DE,TH,,
Gebesee,DE,TH,,
Friedrichroda,DE,TH,,
Fretterode,DE,TH,,
Floh-Seligenthal,DE,TH,,
Fambach,DE,TH,,
Erfurt,DE,TH,50.9777,11.0232
Erbenhausen,DE,TH,,
Endschütz,DE,TH,,
Emleben,DE,TH,,
Ellrich,DE,TH,,
Elgersburg,DE,TH,,
Eisfeld,DE,TH,,
Eisenberg,DE,TH,,
Eisenach,DE,TH,50.9744,10.3254
Eichelborn,DE,TH,,
Eicha,DE,TH,,
Effelder-Rauenstein,DE,TH,,
Eckstedt,DE,TH,,
Ecklingerode,DE,TH,,
Ebeleben,DE,TH,,
Dippach,DE,TH,,
Dingelstädt,DE,TH,,
Dillstädt,DE,TH,,
Deuna,DE,TH,,
Dermbach,DE,TH,,
Dachwig,DE,TH,,
Crossen an der Elster,DE,TH,,
Creuzburg,DE,TH,,
Christes,DE,TH,,
Caaschwitz,DE,TH,,
Buttstädt,DE,TH,,
Buttelstedt,DE,TH,,
Brotterode,DE,TH,,
Breitungen/Werra,DE,TH,,
Breitungen,DE,TH,,
Breitenworbis,DE,TH,,
Bottendorf,DE,TH,,
Bonndorf,DE,TH,,
Bollberg,DE,TH,,
Böhlen,DE,TH,,
Bodenrode-Westhausen,DE,TH,,
Bodelwitz,DE,TH,,
Bleicherode,DE,TH,,
Blankenhain,DE,TH,,
Bittstädt,DE,TH,,
Bischofferode,DE,TH,,
Bibra,DE,TH,,
Berlingerode,DE,TH,,
Berka/Werra,DE,TH,,
Berka,DE,TH,,
Benshausen,DE,TH,,
Behringen,DE,TH,,
Beerwalde,DE,TH,,
Battgendorf,DE,TH,,
Barchfeld,DE,TH,,
Badra,DE,TH,,
Bad Tennstedt,DE,TH,,
Bad Salzungen,DE,TH,50.8119,10.232
Bad Liebenstein,DE,TH,,
Bad Langensalza,DE,TH,51.1049,10.6473
Bad Köstritz,DE,TH,,
Bad Klosterlausnitz,DE,TH,,
Bad Frankenhausen,DE,TH,,
Bad Colberg-Heldburg,DE,TH,,
Bad Blankenburg,DE,TH,,
Bad Berka,DE,TH,,
Azmannsdorf,DE,TH,,
Auma,DE,TH,,
Auengrund,DE,TH,,
Aschau,DE,TH,,
Artern,DE,TH,,
Arnstadt,DE,TH,50.8355,10.9485
Apolda,DE,TH,51.0232,11.5096
Apfelstädt,DE,TH,,
Ammern,DE,TH,,
Altenfeld,DE,TH,,
Altenburg,DE,TH,50.9845,12.4337
Albrechts,DE,TH,,
Zwintschöna,DE,ST,,
Zörbig,DE,ST,,
Zielitz,DE,ST,,
Zerbst,DE,ST,51.9671,12.0846
Zeitz,DE,ST,51.0504,12.1342
Zahna,DE,ST,,
Wolmirstedt,DE,ST,,
Wolfen,DE,ST,51.6634,12.2755
Winkel,DE,ST,,
Wetterzeube,DE,ST,,
Wernigerode,DE,ST,51.8383,10.7918
Weißenfels,DE,ST,51.2016,11.9756
Weißandt-Gölzau,DE,ST,,
Weferlingen,DE,ST,,
Weddersleben,DE,ST,,
Wanzleben,DE,ST,,
Unseburg,DE,ST,,
Tucheim,DE,ST,,
Theeßen,DE,ST,,
Thalheim,DE,ST,,
Thale,DE,ST,51.7551,11.0459
Teutschenthal,DE,ST,,
Tangermünde,DE,ST,,
Tangerhütte,DE,ST,,
Sülzetal,DE,ST,,
Ströbeck,DE,ST,,
Stolberg (Harz),DE,ST,,
Stendal,DE,ST,52.6062,11.8608
Staßfurt,DE,ST,51.854,11.5839
Sommersdorf,DE,ST,,
Silberhütte,DE,ST,,
Seehausen,DE,ST,,
Schützberg,DE,ST,,
Schönhausen (Elbe),DE,ST,,
Schönebeck (Elbe),DE,ST,,
Schönebeck,DE,ST,52.0196,11.7421
Schkopau Lochau,DE,ST,,
Schkopau,DE,ST,,
Schierke,DE,ST,,
Sangerhausen,DE,ST,51.4714,11.2978
Sandersleben,DE,ST,,
Sandersdorf,DE,ST,,
Sandbeiendorf,DE,ST,,
Salzwedel,DE,ST,52.8509,11.1605
Salzmünde,DE,ST,,
Rottleberode,DE,ST,,
Roßlau,DE,ST,,
Roßla,DE,ST,,
Roßbach,DE,ST,,
Rossau,DE,ST,,
Roitzsch,DE,ST,,
Röblingen am See,DE,ST,,
Riethnordhausen,DE,ST,,
Raguhn,DE,ST,,
Querfurt,DE,ST,,
Quellendorf,DE,ST,,
Queis,DE,ST,,
Quedlinburg,DE,ST,51.7932,11.1386
Petersberg,DE,ST,,
Peißen,DE,ST,,
Osterwieck,DE,ST,,
Osterweddingen,DE,ST,,
Osternienburg,DE,ST,,
Osterfeld,DE,ST,,
Osterburg,DE,ST,,
Oschersleben,DE,ST,52.0096,11.3407
Oranienbaum,DE,ST,,
Oppin,DE,ST,,
Oebisfelde,DE,ST,,
Obhausen,DE,ST,,
Nienburg (Saale),DE,ST,,
Niemberg,DE,ST,,
Niederndodeleben,DE,ST,,
Nebra,DE,ST,,
Naundorf,DE,ST,,
Naumburg,DE,ST,51.1497,11.8066
Naturpark Harz,DE,ST,,
NA,DE,ST,,
Muldenstein,DE,ST,,
Mücheln (Geiseltal),DE,ST,,
Morsleben,DE,ST,,
Moritz,DE,ST,,
Möckern,DE,ST,,
Merseburg,DE,ST,51.3591,11.9919
Marke,DE,ST,,
Mansfelder Land,DE,ST,,
Mansfeld,DE,ST,,
Magdeburg,DE,ST,52.1319,11.6278
Lützen,DE,ST,,
Lutherstadt Wittenberg,DE,ST,51.8677,12.6487
Lutherstadt Eisleben,DE,ST,51.5275,11.5499
Luftkurort Arendsee,DE,ST,,
Loitsche,DE,ST,,
Loburg,DE,ST,,
Löbnitz an der Linde,DE,ST,,
Löbejün,DE,ST,,
Lindenberg,DE,ST,,
Lindau,DE,ST,,
Leuna,DE,ST,,
Letzlingen,DE,ST,,
Leißling,DE,ST,,
Laucha,DE,ST,,
Landsberg,DE,ST,51.5255,12.1589
Kroppenstedt,DE,ST,,
Kretzschau,DE,ST,,
Kötschlitz,DE,ST,,
Köthen,DE,ST,51.7511,11.9733
Könnern,DE,ST,,
Königshütte,DE,ST,,
Königsborn,DE,ST,,
Klötze,DE,ST,,
Klietz,DE,ST,,
Klein Wanzleben,DE,ST,,
Klein Ammensleben,DE,ST,,
Kemberg,DE,ST,,
Kelbra,DE,ST,,
Kalbe (Milde),DE,ST,,
Johannashall,DE,ST,,
Jessen (Elster) Neuerstadt,DE,ST,,
Jessen (Elster) Arnsdorf,DE,ST,,
Jessen (Elster),DE,ST,51.7898,12.955
Jerichow,DE,ST,,
Insel,DE,ST,,
Ilsenburg,DE,ST,,
Iden,DE,ST,,
Hoym,DE,ST,,
Hötensleben,DE,ST,,
Hohenmölsen,DE,ST,,
Hohen,DE,ST,,
Heudeber,DE,ST,,
Hettstedt,DE,ST,51.6448,11.5136
Hessen,DE,ST,,
Hermsdorf,DE,ST,,
Heideloh,DE,ST,,
Hecklingen,DE,ST,,
Havelberg,DE,ST,,
Hasselfelde,DE,ST,,
Harzgerode,DE,ST,,
Harbke,DE,ST,,
Halle (Saale),DE,ST,51.482,11.9751
Haldensleben,DE,ST,52.2915,11.4117
Halberstadt,DE,ST,51.8953,11.0499
Großkugel,DE,ST,,
Großkorbetha,DE,ST,,
Großkayna,DE,ST,,
Gröbzig,DE,ST,,
Gröbers,DE,ST,,
Gröbern,DE,ST,,
Greppin,DE,ST,,
Gräfenhainichen,DE,ST,,
Gommern,DE,ST,,
Gladau,DE,ST,,
Giebelroth,DE,ST,,
Gerwisch,DE,ST,,
Genthin,DE,ST,52.4056,12.1539
Gatersleben,DE,ST,,
Gardelegen,DE,ST,52.5244,11.3923
Friedensau,DE,ST,,
Freyburg,DE,ST,,
Flechtingen,DE,ST,,
Erxleben,DE,ST,,
Ermsleben,DE,ST,,
Emersleben,DE,ST,,
Elsteraue,DE,ST,,
Elster,DE,ST,,
Elbingerode,DE,ST,,
Elben,DE,ST,,
Eilsleben,DE,ST,,
Eiche,DE,ST,,
Egeln,DE,ST,,
Eckartsberga,DE,ST,,
Ebendorf,DE,ST,,
Droyßig,DE,ST,,
Dölbau,DE,ST,,
Dingelstedt,DE,ST,,
Dieskau,DE,ST,,
Diesdorf,DE,ST,,
Dessau-Roßlau,DE,ST,,
Derenburg,DE,ST,,
Derben,DE,ST,,
Deetz,DE,ST,,
Danstedt,DE,ST,,
Dähre,DE,ST,,
Coswig,DE,ST,,
Calvörde,DE,ST,,
Calbe,DE,ST,,
Burg bei Magdeburg,DE,ST,52.2705,11.8568
Brehna,DE,ST,,
Bobbau,DE,ST,,
Blankenburg,DE,ST,51.7907,10.9542
Bitterfeld,DE,ST,51.623,12.3281
Bismark (Altmark),DE,ST,,
Biere,DE,ST,,
Biederitz,DE,ST,,
Beuna,DE,ST,,
Bernburg,DE,ST,51.796,11.7423
Benneckenstein,DE,ST,,
Beetzendorf,DE,ST,,
Bebertal,DE,ST,,
Barleben,DE,ST,,
Barby,DE,ST,,
Ballenstedt,DE,ST,,
Bad Schmiedeberg,DE,ST,,
Bad Kösen,DE,ST,,
Bad Dürrenberg,DE,ST,,
Bad Bibra,DE,ST,,
Ausleben,DE,ST,,
Aue,DE,ST,,
Aschersleben,DE,ST,51.7583,11.4612
Arnstein,DE,ST,,
Arnsdorf,DE,ST,,
Arneburg,DE,ST,,
Arensdorf,DE,ST,,
Apenburg,DE,ST,,
Annaburg,DE,ST,,
Altenhausen,DE,ST,,
Alsleben,DE,ST,,
Aken,DE,ST,,
Zwota,DE,SN,,
Zwönitz,DE,SN,,
Zwickau,DE,SN,50.7147,12.4976
Zwenkau,DE,SN,,
Zschopau,DE,SN,,
Zschepplin,DE,SN,,
Zittau,DE,SN,50.9035,14.8123
Zeithain,DE,SN,,
Wurzen,DE,SN,51.3696,12.7405
Wolkenstein,DE,SN,,
Wittichenau,DE,SN,,
Wittgensdorf,DE,SN,,
Wilthen,DE,SN,,
Wilsdruff,DE,SN,,
Wilkau-Haßlau,DE,SN,,
Wildenfels,DE,SN,,
Wiederitzsch,DE,SN,,
Wiedemar,DE,SN,,
Wermsdorf,DE,SN,,
Werdau,DE,SN,50.7362,12.3781
Weißwasser,DE,SN,51.5035,14.6403
Weißenberg,DE,SN,,
Weischlitz,DE,SN,,
Weinböhla,DE,SN,,
Weesenstein,DE,SN,,
Walthersdorf,DE,SN,,
Waldheim,DE,SN,,
Waldenburg,DE,SN,,
Wachau,DE,SN,,
Trieb,DE,SN,,
Treuen,DE,SN,,
Trebsen/Mulde,DE,SN,,
Trebsen,DE,SN,,
Torgau,DE,SN,51.556,13.0042
Torfhaus,DE,SN,,
Thum,DE,SN,,
Thiendorf,DE,SN,,
Thermalbad Wiesenbad,DE,SN,,
Tharandt,DE,SN,,
Thallwitz,DE,SN,,
Taucha,DE,SN,,
Stützengrün,DE,SN,,
Striegistal,DE,SN,,
Strehla,DE,SN,,
Strand,DE,SN,,
Stolpen,DE,SN,,
Stollberg/Erzgebirge,DE,SN,,
Stöcken,DE,SN,,
Steinberg,DE,SN,,
Stadt Wehlen,DE,SN,,
Spreetal,DE,SN,,
Sohland an der Spree,DE,SN,,
Sohland,DE,SN,,
Seifhennersdorf,DE,SN,,
Seiffen/Erzgebirge,DE,SN,,
Sehmatal,DE,SN,,
Sebnitz,DE,SN,,
Schwepnitz,DE,SN,,
Schwarzenberg/Erzgeb.,DE,SN,,
Schwaben,DE,SN,,
Schönheide,DE,SN,,
Schönfeld,DE,SN,,
Schöneck/Vogtland,DE,SN,,
Schöneck,DE,SN,,
