"","city","stateProvince","country","ncity"
"1","Aach","BW","DE",6
"2","Aachen","NW","DE",8650
"3","Aalen","BW","DE",2042
"4","Abenberg","BY","DE",32
"5","Abensberg","BY","DE",352
"6","Abstatt","BW","DE",1012
"7","Abtsgmünd","BW","DE",122
"8","Abtswind","BY","DE",60
"9","Achberg","BW","DE",3
"10","Achern","BW","DE",761
"11","Achim","NI","DE",495
"12","Achstetten","BW","DE",15
"13","Achterwehr","SH","DE",29
"14","Adelberg","BW","DE",30
"15","Adelheidsdorf","NI","DE",47
"16","Adelholzen","BY","DE",1
"17","Adelmannsfelden","BW","DE",17
"18","Adelsdorf","BY","DE",93
"19","Adelsheim","BW","DE",80
"20","Adelshofen","BY","DE",1
"21","Adelsried","BY","DE",14
"22","Adenau","RP","DE",41
"23","Adendorf","NI","DE",34
"24","Adlkofen","BY","DE",5
"25","Adorf","SN","DE",20
"26","Aerzen","NI","DE",94
"27","Affalterbach","BW","DE",844
"28","Affing","BY","DE",22
"29","Agathenburg","NI","DE",2
"30","Aglasterhausen","BW","DE",56
"31","Ahaus","NW","DE",368
"32","Ahlbeck","MV","DE",100
"33","Ahlen","NW","DE",765
"34","Ahlerstedt","NI","DE",30
"35","Ahlhorn","NI","DE",124
"36","Ahnatal","HE","DE",54
"37","Ahnsen","NI","DE",3
"38","Ahorn","BY","DE",80
"39","Ahrensbök","SH","DE",62
"40","Ahrensburg","SH","DE",1219
"41","Ahrensfelde","BB","DE",43
"42","Ahrensfelde","SH","DE",5
"43","Ahrenshagen-Daskow","MV","DE",9
"44","Ahrenshöft","SH","DE",85
"45","Ahrenviöl","SH","DE",8
"46","Aicha vorm Wald","BY","DE",38
"47","Aichach","BY","DE",402
"48","Aichhalden","BW","DE",65
"49","Aichstetten","BW","DE",4
"50","Aichtal","BW","DE",133
"51","Aichwald","BW","DE",144
"52","Aidenbach","BY","DE",45
"53","Aidlingen","BW","DE",3
"54","Aindling","BY","DE",8
"55","Ainring","BY","DE",156
"56","Aislingen","BY","DE",16
"57","Aiterhofen","BY","DE",22
"58","Aitrach","BW","DE",2
"59","Aken","ST","DE",195
"60","Albbruck","BW","DE",76
"61","Albersdorf","SH","DE",8
"62","Albershausen","BW","DE",45
"63","Albersweiler","RP","DE",7
"64","Albertshausen","HE","DE",60
"65","Albig","RP","DE",21
"66","Albisheim (Pfrimm)","RP","DE",35
"67","Albrechts","TH","DE",1
"68","Albstadt","BW","DE",416
"69","Aldenhoven","NW","DE",170
"70","Aldersbach","BY","DE",23
"71","Aldingen","BW","DE",20
"72","Alf","RP","DE",1
"73","Alfdorf","BW","DE",87
"74","Alfeld (Leine)","NI","DE",348
"75","Alfhausen","NI","DE",23
"76","Alfter","NW","DE",108
"77","Algermissen","NI","DE",35
"78","Alheim","HE","DE",5
"79","Alkersum","SH","DE",25
"80","Allach","BY","DE",2
"81","Allen","NW","DE",6
"82","Allendorf","HE","DE",38
"83","Allendorf (Eder)","HE","DE",1
"84","Allendorf (Lumda)","HE","DE",14
"85","Allensbach","BW","DE",85
"86","Allermöhe","HH","DE",108
"87","Allersberg","BY","DE",17
"88","Allershausen","BY","DE",4
"89","Allgäu","BY","DE",73
"90","Alling","BY","DE",3
"91","Allmannsweiler","BW","DE",6
"92","Allmendingen","BW","DE",58
"93","Allmersbach im Tal","BW","DE",5
"94","Allmuthshausen","HE","DE",1
"95","Alpen","NW","DE",203
"96","Alpenrod","RP","DE",22
"97","Alpirsbach","BW","DE",62
"98","Alsbach","RP","DE",26
"99","Alsbach-Hähnlein","HE","DE",67
"100","Alsdorf","NW","DE",358
"101","Alsfeld","HE","DE",303
"102","Alsheim","RP","DE",39
"103","Alsleben","ST","DE",7
"104","Alsterdorf","HH","DE",112
"105","Alstertal","HH","DE",14
"106","Alt Duvenstedt","SH","DE",5
"107","Alt Mölln","SH","DE",36
"108","Alt Schwerin","MV","DE",31
"109","Altbach","BW","DE",43
"110","Altdorf","BW","DE",13
"111","Altdorf","BY","DE",6
"112","Altdorf bei Nürnberg","BY","DE",265
"113","Alte Neustadt","HB","DE",9
"114","Alteglofsheim","BY","DE",33
"115","Alteiselfing","BY","DE",3
"116","Altena","NW","DE",352
"117","Altenahr","RP","DE",5
"118","Altenbeken","NW","DE",55
"119","Altenberg","SN","DE",34
"120","Altenberge","NW","DE",242
"121","Altenburg","TH","DE",455
"122","Altendiez","RP","DE",93
"123","Altendorf","BY","DE",79
"124","Altenfeld","TH","DE",5
"125","Altenglan","RP","DE",29
"126","Altenhausen","ST","DE",7
"127","Altenholz","SH","DE",150
"128","Altenkirchen","RP","DE",206
"129","Altenkunstadt","BY","DE",52
"130","Altenmarkt","BY","DE",16
"131","Altenmarkt an der Alz","BY","DE",12
"132","Altenrheine","NW","DE",3
"133","Altenstadt","BY","DE",41
"134","Altenstadt","HE","DE",396
"135","Altenstadt an der Waldnaab","BY","DE",38
"136","Altentreptow","MV","DE",79
"137","Altheim","BW","DE",1
"138","Altheim","SL","DE",30
"139","Althengstett","BW","DE",81
"140","Althütte","BW","DE",4
"141","Altkalen","MV","DE",3
"142","Altlandsberg","BB","DE",43
"143","Altleiningen","RP","DE",21
"144","Altlußheim","BW","DE",170
"145","Altmannstein","BY","DE",12
"146","Altmittweida","SN","DE",38
"147","Altötting","BY","DE",224
"148","Altshausen","BW","DE",50
"149","Altusried","BY","DE",28
"150","Alveslohe","SH","DE",6
"151","Alzenau in Unterfranken","BY","DE",695
"152","Alzey","RP","DE",406
