city,n()
New York,285390
Chicago,170523
Toronto,160421
Houston,155434
Berlin,147786
Atlanta,131058
Los Angeles,129985
Dallas,111726
San Francisco,109738
Washington,106073
Austin,105315
München,100481
Seattle,94892
San Diego,93840
Montréal,93421
Boston,93323
Phoenix,92785
San Antonio,89503
Vancouver,86299
Columbus,85914
Philadelphia,85894
Charlotte,85059
Denver,84443
Hamburg,81179
Orlando,74348
Richmond,70195
Tampa,70149
Indianapolis,68486
Portland,68193
St. Louis,67568
Las Vegas,66969
Miami,63996
Jacksonville,63350
Pittsburgh,59172
Baltimore,58016
Calgary,57465
Nashville,57080
Frankfurt am Main,55529
Mississauga,55117
Cincinnati,52937
Minneapolis,52598
Springfield,52159
Kansas City,50770
San Jose,50032
Columbia,49875
Köln,49004
Louisville,48591
Raleigh,46927
Edmonton,46652
Ottawa,44955
Fort Worth,44523
Rochester,43773
Cleveland,42724
Salt Lake City,42259
Brooklyn,41935
Arlington,41751
Greenville,40145
Oklahoma City,38911
Memphis,38821
Stuttgart,38493
Sacramento,38438
Irvine,38012
Milwaukee,37672
Düsseldorf,37060
Omaha,36474
Madison,35004
Tucson,34002
Burlington,33349
Detroit,33077
Cambridge,33011
Colorado Springs,32360
Birmingham,32214
Aurora,31783
Wilmington,31578
Tulsa,31134
Grand Rapids,31053
Charleston,30184
Lexington,29650
Newark,28813
Fort Lauderdale,27826
Plano,27424
Nürnberg,27207
Albuquerque,26940
New Orleans,26666
Concord,26624
Dayton,26616
Albany,26585
Scottsdale,26514
Buffalo,25380
Knoxville,24803
Jackson,24573
Winnipeg,23997
Saint Paul,23966
Lancaster,23507
Quebec City,23494
Honolulu,23484
Huntsville,23434
Irving,23364
Brampton,22688
Hannover,22628
Baton Rouge,22623
Greensboro,22435
Durham,22318
Alexandria,21977
Bloomington,21843
Oakland,21753
Bellevue,21416
Leipzig,21267
Fayetteville,21205
Bremen,20128
Hamilton,19941
Saint Petersburg,19930
Franklin,19899
Norfolk,19883
Dresden,19866
Troy,19851
Fresno,19846
Gainesville,19825
Virginia Beach,19685
Glendale,19562
Des Moines,19473
Tempe,19174
El Paso,19142
Syracuse,19134
Pasadena,19106
Little Rock,19016
Wichita,18868
Essen,18701
Lafayette,18693
Winston-Salem,18621
Savannah,18608
Fremont,18590
Bronx,18543
Lincoln,18320
Salem,18204
Reno,18055
Hartford,18009
Fort Myers,17958
London,17778
Fort Wayne,17774
Victoria,17686
Boise,17656
Jersey City,17619
Chattanooga,17610
Canton,17583
Ann Arbor,17515
Santa Clara,17499
Overland Park,17298
York,17114
Harrisburg,17054
Alpharetta,16786
Windsor,16708
West Palm Beach,16688
Augusta,16630
Mesa,16593
Sarasota,16517
Boca Raton,16430
Palo Alto,16238
McLean,16209
Manhattan,16136
Plymouth,16095
Dortmund,16079
Toledo,16044
Manchester,16015
Markham,15990
Surrey,15934
Mannheim,15932
Auburn,15808
Akron,15701
Marietta,15633
Rockville,15604
Sunnyvale,15532
Karlsruhe,15455
Riverside,15411
Monroe,15375
Long Beach,15352
Tacoma,15334
Providence,15276
Reston,15146
Mountain View,15119
Duluth,14691
Spokane,14682
Redmond,14583
Middletown,14513
Burnaby,14495
Fairfax,14351
Midland,14333
Tallahassee,14315
Lansing,14266
Lakewood,14252
Princeton,14209
Stamford,14156
Allentown,14054
Laval,14051
Scarborough,14031
Chandler,13996
Florence,13942
Pensacola,13847
Green Bay,13672
Ontario,13566
Peoria,13557
Bakersfield,13444
Montgomery,13437
Remote,13418
Bethesda,13405
Asheville,13295
Englewood,13274
Orange,13205
Augsburg,13149
Corpus Christi,12980
Anaheim,12949
Henderson,12895
Naples,12842
Worcester,12824
Roanoke,12810
Torrance,12810
Oakville,12776
Mobile,12733
Fairfield,12682
Dublin,12630
Boulder,12577
Waterloo,12540
Clearwater,12407
Anchorage,12332
Roseville,12232
Bonn,12217
Vaughan,12216
Decatur,12153
Lebanon,12079
Lubbock,12070
Athens,11892
Evansville,11817
Fargo,11805
Carlsbad,11760
Charlottesville,11718
Dallas-Fort Worth,11686
Woodbridge,11619
Halifax,11595
Fort Collins,11535
Lakeland,11485
