industry_name,sector
accounting,finance
admin,business
agriculture,agriculture
arch,engineering
arts,public
aviation,transport
care,hospitality
childcare,hospitality
construction,labor
customer,hospitality
driver,labor
education,public
engchem,engineering
engcivil,engineering
engelectric,engineering
engid,engineering
engmech,engineering
finance,finance
food,hospitality
hospitality,hospitality
hr,business
install,labor
insurance,business
legal,business
management,business
manufacturing,misc
marketing,business
math,engineering
meddental,medical
meddr,medical
media,medical
medinfo,medical
mednurse,medical
medtech,medical
military,public
mining,labor
NA,other
personal,hospitality
pharmacy,medical
project,business
protective,public
realestate,business
retail,labor
sales,business
sanitation,labor
science,engineering
service,hospitality
socialscience,public
sports,misc
tech,tech
techhelp,tech
techinfo,tech
techsoftware,tech
therapy,medical
transport,transport
uncategorized,other
veterinary,medical
warehouse,labor
