"","date","companyId","jobId","country","stateProvince","city","avgOverallRating","numReviews","industry","normTitle","normTitleCategory","descriptionCharacterLength","descriptionWordCount","experienceRequired","estimatedSalary","salaryCurrency","jobLanguage","supervisingJob","licenseRequiredJob","educationRequirement","jobAgeDays","clicks","localClicks"
"1",2016-10-01,"company00000","job0000000","US","TX","Dallas-Fort Worth",0,NA,NA,"home health aide","mednurse",834,165,NA,69300,NA,"EN",0,1,"None",97,18,2
"2",2016-10-01,"company00001","job0000001","US","MA","Boston",4,551,"HEALTH_CARE","senior food service worker","food",3297,566,0,22700,NA,"EN",0,0,"High school",94,14,3
"3",2016-10-01,"company00002","job0000002","US","FL","Melbourne",0,NA,NA,"field service engineer","install",2465,373,5,66000,NA,"EN",0,0,"Higher education",92,7,0
"4",2016-10-01,"company00003","job0000003","US","MA","Plymouth",3.8,73,NA,"cashier","retail",5310,828,1,14900,NA,"EN",0,0,"High school",84,23,23
"5",2016-10-01,"company00004","job0000004","CA","QC","Montréal",3.5,112,NA,"reservation agent","customer",1648,234,NA,33500,NA,"EN",0,0,"None",81,8,2
"6",2016-10-01,"company00005","job0000005","US","NV","Las Vegas",3.9,114,NA,"nursing student","mednurse",2918,458,NA,51800,NA,"EN",0,1,"Higher education",81,10,3
"7",2016-10-01,"company00006","job0000006","US","NY","Westchester",3.4,66,NA,"endocrinologist","meddr",2250,381,15,164000,NA,"EN",0,0,"None",80,17,1
"8",2016-10-01,"company00007","job0000007","DE","NW","Düsseldorf",2.5,86,NA,NA,NA,2471,380,NA,24500,NA,"DE",NA,NA,NA,79,25,3
"9",2016-10-01,"company00008","job0000008","CA","ON","Virgil",0,NA,NA,"dietary aide","care",1688,273,NA,32300,NA,"EN",0,1,"None",77,13,3
"10",2016-10-01,"company00009","job0000009","CA","ON","Toronto",5,34,NA,"housekeeper","sanitation",1200,240,NA,25900,NA,"EN",0,0,"None",73,12,0
"11",2016-10-01,"company00010","job0000010","US","NC","Goldsboro",4,14,NA,"cable installer","install",1406,313,NA,28200,"USD","EN",0,1,"High school",72,9,9
"12",2016-10-01,"company00011","job0000011","CA","ON","Guelph",0,NA,NA,"psychiatrist","meddr",5373,805,NA,71000,NA,"EN",0,1,"None",72,9,2
"13",2016-10-01,"company00012","job0000012","DE","BY","Großwallstadt",3.8,73,NA,"sachbearbeiter","admin",2696,452,NA,26800,NA,"DE",NA,NA,NA,71,8,0
"14",2016-10-01,"company00013","job0000013","DE","NW","Köln",0,NA,NA,"kundenberater","sales",2537,459,NA,35100,NA,"DE",NA,NA,NA,71,8,3
"15",2016-10-01,"company00014","job0000014","CA","ON","Toronto",4.3,71,NA,"senior business consultant","management",5921,883,7,120100,NA,"EN",0,1,"Higher education",68,29,4
"16",2016-10-01,"company00015","job0000015","US","NY","Buffalo",0,NA,NA,"entry level analyst","math",4498,680,NA,101800,NA,"EN",0,0,"Higher education",65,16,3
"17",2016-10-01,"company00016","job0000016","US","OH","Upper Sandusky",0,NA,NA,"mail carrier","warehouse",1143,193,NA,51600,"USD","EN",0,1,"None",65,4,3
"18",2016-10-01,"company00017","job0000017","US","NY","New York",3.8,59,NA,"risk manager","finance",2626,369,7,154200,NA,"EN",0,0,"Higher education",64,25,1
"19",2016-10-01,"company00018","job0000018","CA","BC","Vancouver",0,NA,NA,"registered nurse - endoscopy","mednurse",3079,501,2,64500,"CAD","EN",0,1,"None",63,8,2
"20",2016-10-01,"company00019","job0000019","US","NC","Charlotte",3.7,401,"HEALTH_CARE","hospitalist","meddr",540,122,NA,167100,NA,"EN",0,1,"None",58,23,1
"21",2016-10-01,"company00020","job0000020","CA","MB","Winnipeg",2.8,97,NA,"hvac technician","install",1489,301,NA,41600,NA,"EN",0,1,"None",57,10,8
"22",2016-10-01,"company00021","job0000021","US","IL","Peoria",5,11,NA,"continuous improvement manager","management",1289,259,4,89900,"USD","EN",1,0,"Higher education",56,22,2
"23",2016-10-01,"company00022","job0000022","US","PA","King of Prussia",4.3,38,NA,"retail sales associate","retail",2588,502,NA,52400,NA,"EN",0,0,"None",54,23,0
"24",2016-10-01,"company00023","job0000023","DE","SN","Chemnitz",0,NA,NA,"altenpfleger","mednurse",1477,198,NA,20800,NA,"DE",NA,NA,NA,50,18,1
"25",2016-10-01,"company00024","job0000024","US","MI","Flint",3.7,131,"HEALTH_CARE","works manager","management",2517,365,NA,53100,NA,"EN",0,0,"Higher education",45,4,2
"26",2016-10-01,"company00025","job0000025","US","FL","Pace",3.7,37,NA,"store manager","retail",1522,237,NA,33300,NA,"EN",1,0,"None",44,21,1
"27",2016-10-01,"company00026","job0000026","US","MN","Inver Grove Heights",3.8,31,NA,"print operator","admin",3263,537,NA,35800,NA,"EN",1,0,"None",44,14,0
"28",2016-10-01,"company00027","job0000027","US","CA","South San Francisco",4.1,16,NA,"senior process manager","management",2600,441,3,69600,NA,"EN",0,0,"Higher education",43,25,2
"29",2016-10-01,"company00028","job0000028","US","AZ","Casa Grande",4.1,140,"HEALTH_CARE","operations manager","management",4358,647,10,118900,NA,"EN",1,0,"Higher education",43,26,3
"30",2016-10-01,"company00029","job0000029","US","CA","Northridge",0,NA,NA,"customer service representative","customer",1737,276,0.3,19100,NA,"EN",0,0,"High school",42,28,0
"31",2016-10-01,"company00030","job0000030","US","IN","Indianapolis",3.6,7,NA,"team member","uncategorized",1148,225,NA,17800,NA,"EN",0,0,"None",40,2,2
"32",2016-10-01,"company00031","job0000031","DE","BE","Berlin",3.6,31,NA,"verkäufer","sales",1130,192,NA,21800,NA,"DE",NA,NA,NA,40,38,26
"33",2016-10-01,"company00032","job0000032","US","NC","Raleigh",0,NA,NA,"truck driver","driver",1204,208,2,49600,"USD","EN",0,1,"None",40,37,6
"34",2016-10-01,"company00033","job0000033","US","CT","Stamford",0,NA,NA,"medical assistant","medtech",1592,208,NA,26100,NA,"EN",0,1,"High school",40,30,3
"35",2016-10-01,"company00034","job0000034","US","TX","Austin",3.3,75,NA,"speech therapist","therapy",2237,306,NA,52300,NA,"EN",0,1,"None",39,24,3
"36",2016-10-01,"company00035","job0000035","US","TN","Jackson",0,NA,NA,"registered nurse","mednurse",7156,1017,NA,43500,NA,"EN",0,1,"Higher education",39,22,13
"37",2016-10-01,"company00036","job0000036","US","TN","Lexington",0,NA,NA,"delivery driver","driver",2010,330,2,21300,NA,"EN",0,1,"High school",39,18,18
"38",2016-10-01,"company00037","job0000037","US","PA","Lancaster",0,NA,NA,"administrative assistant","admin",902,228,2,27800,NA,"EN",0,0,"High school",38,18,0
"39",2016-10-01,"company00038","job0000038","CA","ON","Vaughan",1,15,NA,"housekeeping manager","sanitation",2286,325,4,44100,NA,"EN",1,0,"None",37,14,2
"40",2016-10-01,"company00039","job0000039","CA","ON","Toronto",0,NA,NA,"business analyst","techinfo",2531,377,1,63900,NA,"EN",0,0,"None",37,27,3
"41",2016-10-01,"company00040","job0000040","US","AZ","Tucson",0,NA,NA,"registered nurse - admissions","mednurse",4000,567,NA,53500,NA,"EN",0,1,"Higher education",38,25,12
"42",2016-10-01,"company00041","job0000041","DE","BE","Berlin",0,NA,NA,"reinigungskraft","sanitation",661,180,NA,18700,NA,"DE",NA,NA,NA,37,19,19
"43",2016-10-01,"company00042","job0000042","US","NH","Barnstead",0,NA,NA,NA,NA,48,36,NA,41400,NA,"EN",0,0,"None",37,4,0
"44",2016-10-01,"company00043","job0000043","US","NY","New York",0,NA,NA,"owner operator driver","driver",520,176,NA,52600,NA,"EN",0,1,"None",37,8,2
"45",2016-10-01,"company00044","job0000044","US","CA","Thousand Oaks",0,NA,NA,"mentor","service",1303,264,NA,39100,NA,"EN",0,0,"High school",37,28,2
"46",2016-10-01,"company00045","job0000045","US","CA","San Diego",0,NA,NA,"used car manager","sales",694,183,NA,52700,NA,"EN",0,0,"None",36,14,4
"47",2016-10-01,"company00046","job0000046","US","OH","Groveport",0,NA,NA,"metal fabricator","manufacturing",921,232,NA,32300,NA,"EN",0,1,"None",36,9,1
"48",2016-10-01,"company00047","job0000047","US","IL","Carterville",3.3,56,NA,"retail sales associate","retail",2112,311,NA,15000,NA,"EN",0,0,"High school",35,19,19
"49",2016-10-01,"company00048","job0000048","DE","NW","Ennigerloh",0,NA,NA,"kommissionierer","warehouse",1543,215,NA,19300,NA,"DE",NA,NA,NA,30,25,1
"50",2016-10-01,"company00049","job0000049","US","MN","Saint Louis Park",0,NA,NA,"dental assistant","meddental",635,85,NA,31700,NA,"EN",0,1,"None",31,25,2
"51",2016-10-01,"company00050","job0000050","CA","ON","Bowmanville",3.9,32,NA,"mail carrier","warehouse",6664,1090,NA,38300,NA,"EN",0,1,"None",30,34,12
"52",2016-10-01,"company00051","job0000051","DE","BW","Wehr",0,NA,NA,"konstruktionsingenieur","arch",2586,404,NA,43800,NA,"DE",NA,NA,NA,30,5,0
